year,region,count_companies,count_patents,sum_rdex,sum_capex,mean_assets,sum_sales,sum_ebitda
1980,Asia Pacific,14,1799,2473.1230218,4280.690028,6251.613819285714,139324.020569,9143.88005
1980,Europe,14,762,926.0100029,6917.6440013,6034.174492071429,100619.92939,13642.0329269
1980,North America,509,13526,23771.101445003,134059.62276655,2451.2178146187052,1331059.073437267,195359.0613128908
1980,Other,1,1,0.28400001,0.199,10.642,5.1960001,1.541
1981,Asia Pacific,14,2334,2734.9180249,11772.238903,8981.058514357142,148024.636699,17273.9209599
1981,Europe,13,833,2228.506007,8347.466993,6560.834459230769,100319.48292,11888.022038
1981,North America,510,14665,27409.0754467474,150569.98236700371,2491.884628522044,1445379.2646654102,204256.920043885
1982,Asia Pacific,17,2601,3428.0210192,12738.300326,8480.221975294118,174361.3992,18589.67905
1982,Europe,15,819,2675.2059992,9038.492004,6237.190597933333,107186.7859095,11936.3179512
1982,North America,514,12878,30167.8904036476,141930.969941451,2559.9645403406103,1392890.14528251,194432.860793853
1982,Other,1,1,0.53600001,0.63599998,13.843,8.1809998,0.70899999
1983,Asia Pacific,15,2752,4076.4899920000003,12871.0359001,11047.2250668,197556.91090299998,20558.0009
1983,Europe,20,899,2975.3629951,8477.594,5213.49114805,128934.92426,14776.192023
1983,North America,530,12927,32875.4840630842,122304.2585983031,2944.8290283078545,1460760.302983332,224027.360400092
1983,Other,1,1,5.0180001,18.709,291.54401,132.073,24.691
1984,Asia Pacific,18,3813,4720.4219551,7929.6439588,7301.458628333334,190616.70378,17033.885229
1984,Europe,23,1200,3452.6171142,11089.74901802,5440.320701782609,144223.30393,20115.277420899998
1984,North America,596,15147,40453.782643767,128275.48571448,2548.0804648213057,1533493.3533920585,235593.636757335
1984,Other,1,3,7.4699998,16.993999,306.17099,147.62199,-10.838
1985,Asia Pacific,18,4451,8009.336163,77324.75721,13170.779606111111,290814.792,33787.617242
1985,Europe,28,1500,5404.9339835,17106.398938,6991.862012857143,221079.02449,31019.895061
1985,North America,601,15696,38931.334049657,129915.0807874602,2474.5626816923736,1471902.8971706673,225931.796538416
1985,Other,3,6,12.8360001,15.1400002,119.13499666666667,216.6740059,-59.190998004
1986,Asia Pacific,18,4645,10637.148827,21546.9406309,16719.376288944444,333915.263004,36382.6989098
1986,Europe,33,1484,7870.0690220999995,22915.090346,7944.391111484849,257623.4796801,36341.98734202
1986,North America,640,13987,42146.290796598,120232.3335426428,2504.5557650544565,1466414.44071742,221832.858994207
1986,Other,3,16,17.2679996,13.0939999,132.78599866666667,304.64198899999997,7.198000199999997
1987,Asia Pacific,155,11229,21261.1838396,27480.373050000002,6301.265803012903,995367.501493,68479.42952921
1987,Europe,37,1968,10228.8149032,25299.850586,8787.51180225,312245.099021,44795.65552298
1987,North America,722,15847,47402.917865173,112494.4923876435,2422.3972923602105,1639098.904970431,252980.8479099956
1987,Other,3,24,14.416000799999999,16.690999899999998,119.62833996666666,272.9379999,21.0980003
1988,Asia Pacific,165,11114,22952.1306987,30864.9389398,6617.188289230303,1088569.168979,86343.0469134
1988,Europe,48,2005,13359.8075256,31600.0769759,7813.882912234042,368319.3704314,55276.5371301
1988,North America,743,14752,49355.0036695334,130903.581931742,3196.426588431503,1815380.01487165,302991.27284307353
